Symbol,Name,Sector,industry,Exchange
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE
AA,Alcoa Corporation,Basic Industries,Aluminum,NYSE
AABA,Altaba Inc.,Technology,EDP Services,NASDAQ
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,NYSE
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ
AAMC,Altisource Asset Management Corp,Finance,Real Estate,AMEX
AAME,Atlantic American Corporation,Finance,Life Insurance,NASDAQ
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,NYSE
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,NASDAQ
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,NYSE
AAPL,Apple Inc.,Technology,Computer Manufacturing,NASDAQ
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE
AAU,"Almaden Minerals, Ltd.",Basic Industries,Precious Metals,AMEX
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services,NASDAQ
AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories,NASDAQ
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,NYSE
ABB,ABB Ltd,Consumer Durables,Electrical Products,NYSE
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,NYSE
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,NYSE
ABCB,Ameris Bancorp,Finance,Major Banks,NASDAQ
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,NYSE
ABIL,Ability Inc.,Capital Goods,Telecommunications Equipment,NASDAQ
